fecha sp500 ftse100 nikkei225 cac40 dax100 usd.bp usd.yen usd.eur
02-Jul-97 904.03 4751.4 20196.42 2909.45 553.48 1.6755 0.0087 1.144
03-Jul-97 916.92 4831.7 20121.41 2936.98 556.87 1.6915 0.0088 1.145
04-Jul-97 916.92 4812.8 19968 2934.48 563.71 1.6915 0.0088 1.1432
07-Jul-97 912.2 4810.7 19705.17 2947.66 567.58 1.6903 0.0089 1.1435
08-Jul-97 918.75 4758.5 19853.89 2929.81 571.38 1.6885 0.0089 1.1379
09-Jul-97 907.54 4762.4 19697.17 2950.56 577.84 1.6885 0.0089 1.1379
10-Jul-97 913.78 4767.8 19754.78 2929.09 569.62 1.6885 0.0088 1.1436
11-Jul-97 916.68 4799.5 19875.49 2941.59 575.56 1.692 0.0088 1.1262
14-Jul-97 918.38 4857.4 20228.72 2941.59 585.96 1.688 0.0088 1.1183
15-Jul-97 925.76 4899.3 20069.41 2950.7 585.23 1.6795 0.0087 1.1179
16-Jul-97 936.59 4964.2 20358.74 2988.01 595.45 1.6787 0.0086 1.1198
17-Jul-97 931.61 4949 20519.25 2958.59 599.15 1.6727 0.0086 1.1193
18-Jul-97 915.3 4877.2 20249.32 2876.69 595.02 1.6805 0.0087 1.1193
21-Jul-97 912.94 4805.7 20249.32 2874.12 582.22 1.6787 0.0086 1.1163
22-Jul-97 933.98 4846.7 20157.02 2921.13 597.14 1.6805 0.0087 1.1005
23-Jul-97 936.56 4874.5 20130.51 3003.53 618.41 1.6795 0.0086 1.1002
24-Jul-97 940.3 4862.9 20286.23 2973.53 608.42 1.6742 0.0086 1.0937
25-Jul-97 938.79 4851.5 20389.54 3025.94 606.77 1.665 0.0086 1.0918
28-Jul-97 936.45 4862.6 20575.26 3022.2 613.26 1.632 0.0085 1.0885
29-Jul-97 942.29 4876.6 20402.74 3023.63 614.52 1.6275 0.0084 1.0916
30-Jul-97 952.29 4927.3 20212.82 3069.3 620.14 1.629 0.0084 1.0923
31-Jul-97 954.29 4907.5 20331.43 3075.67 622.91 1.641 0.0084 1.0899
01-Ago-97 947.14 4899.3 19804.38 3049.44 619.24 1.6305 0.0084 1.0759
04-Ago-97 950.3 4895.7 19668.07 2992.41 605.47 1.63 0.0084 1.074
05-Ago-97 952.37 4960.6 19514.45 2984.1 606.13 1.6245 0.0084 1.0655
06-Ago-97 960.32 5026.2 19702.07 3037.09 609.85 1.6022 0.0084 1.065
07-Ago-97 951.19 5086.8 19475.85 3056.34 620.13 1.59 0.0084 1.0721
08-Ago-97 933.54 5031.3 19604.46 2996.27 612.9 1.5875 0.0087 1.0855
11-Ago-97 937 5031.9 18824.18 2983.44 610.43 1.59 0.0086 1.0759
12-Ago-97 926.53 5075.8 19099.11 2998.57 614.44 1.5787 0.0086 1.0754
13-Ago-97 922.02 5003.6 19008.6 2924.04 603.31 1.5835 0.0086 1.0909
14-Ago-97 924.77 4991.3 19222.62 2921.84 595.76 1.591 0.0085 1.0886
15-Ago-97 900.81 4865.8 19326.03 2921.84 585.52 1.6093 0.0085 1.1004
18-Ago-97 912.49 4835 19041.1 2870.13 575.02 1.606 0.0085 1.0922
19-Ago-97 926.01 4914.2 18961 2936.16 586.93 1.606 0.0085 1.0889
20-Ago-97 939.35 4958.4 19252.23 2979.27 594.2 1.5935 0.0085 1.0802
21-Ago-97 925.05 4978 19157.12 2957.23 598.14 1.592 0.0085 1.0915
22-Ago-97 923.55 4901.1 18650.17 2904.23 575.22 1.6105 0.0084 1.1007
25-Ago-97 920.16 4901.1 18656.17 2898.57 573.31 1.6065 0.0084 1.1014
26-Ago-97 913.02 4886.3 18814.98 2869.26 557.86 1.6125 0.0085 1.1148
27-Ago-97 913.7 4906.9 18441.94 2871.7 561.52 1.6135 0.0084 1.1097
28-Ago-97 903.67 4845.4 18451.45 2828.41 557.71 1.6185 0.0084 1.1174
29-Ago-97 899.47 4817.5 18229.42 2770.49 548.79 1.62 0.0083 1.1078
01-Sep-97 899.47 4870.2 17974.3 2805.84 559.01 1.62 0.0083 1.1054
02-Sep-97 927.58 4952.2 18232.52 2921.15 565.16 1.5915 0.0082 1.0931
03-Sep-97 927.86 4976.9 18735.17 2917.92 572.49 1.5855 0.0083 1.1026
04-Sep-97 930.87 4991.3 18615.06 2926.99 568.93 1.5837 0.0083 1.1039
05-Sep-97 929.05 4994.2 18650.17 2924.51 573 1.594 0.0083 1.1125
08-Sep-97 931.2 4985.2 18633.86 2940.89 570.01 1.5827 0.0083 1.1094
09-Sep-97 933.62 4950.5 18695.97 2919.72 572.87 1.5895 0.0084 1.1062
10-Sep-97 919.03 4905.2 18704.77 2874.57 567.39 1.5866 0.0084 1.1146
11-Sep-97 912.59 4854.8 18282.23 2843.6 557.56 1.5997 0.0084 1.1263
12-Sep-97 923.91 4848.2 17965.8 2834.07 540.78 1.6075 0.0083 1.1312
15-Sep-97 919.77 4902.9 17965.8 2898.62 536.23 1.6063 0.0083 1.1384
16-Sep-97 945.64 4976.4 17974.5 2940.55 545.96 1.5955 0.0082 1.134
17-Sep-97 943 5013.1 17683.27 2944 558.9 1.6015 0.0083 1.1319
18-Sep-97 947.29 5046.2 17930.09 2978.37 556.2 1.6115 0.0082 1.1267
19-Sep-97 950.51 5023.8 18058.21 2977.18 561.05 1.6115 0.0082 1.1299
